INFO 2018-03-08 09:40:10,184 "GET /static/css/jquery-ui.css HTTP/1.1" 200 31981
INFO 2018-03-08 09:40:10,229 "GET /static/css/style.css HTTP/1.1" 200 78310
INFO 2018-03-08 09:40:10,276 "GET /static/js/jquery-2.1.4.min.js HTTP/1.1" 200 84349
INFO 2018-03-08 09:40:10,278 "GET /static/css/animate.css HTTP/1.1" 200 75599
INFO 2018-03-08 09:40:10,329 "GET /static/css/bootstrap.css HTTP/1.1" 200 148197
INFO 2018-03-08 09:40:10,355 "GET /static/js/bootstrap-3.1.1.min.js HTTP/1.1" 200 29115
INFO 2018-03-08 09:40:10,394 "GET /static/images/skin_01.png HTTP/1.1" 200 5682
INFO 2018-03-08 09:40:10,506 "GET /static/images/skin_02.png HTTP/1.1" 200 5473
INFO 2018-03-08 09:40:10,719 "GET /static/js/jquery-ui.js HTTP/1.1" 200 465075
INFO 2018-03-08 09:40:10,753 "GET /upload/cases/Forehead_4AHy8qi.jpg HTTP/1.1" 200 94751
INFO 2018-03-08 09:40:10,900 "GET /static/images/social.png HTTP/1.1" 200 3936
INFO 2018-03-08 09:40:10,911 "GET /upload/cases/Jaws_2aBzzXQ.jpg HTTP/1.1" 200 75649
INFO 2018-03-08 09:40:10,914 "GET /static/css/images/load.gif HTTP/1.1" 200 8476
INFO 2018-03-08 09:40:10,921 "GET /static/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
INFO 2018-03-08 09:40:10,947 "GET /upload/cases/Oral_week_TSxnL0c.jpg HTTP/1.1" 200 89344
INFO 2018-03-08 09:40:11,013 "GET /static/images/pic2.jpg HTTP/1.1" 200 62839
INFO 2018-03-08 09:40:11,072 "GET /upload/cases/lips_i8lNNQt.jpg HTTP/1.1" 200 107787
INFO 2018-03-08 09:40:11,206 "GET /static/images/WORKING.png HTTP/1.1" 200 594188
INFO 2018-03-08 09:40:12,783 "GET /upload/banner/Young_Woman_in_the_Bathroom08_bcigsL2.jpg HTTP/1.1" 200 2376684
INFO 2018-03-08 09:40:13,405 "GET /upload/product/deep2_3EjmBHX.png HTTP/1.1" 200 3094408
INFO 2018-03-08 09:40:13,463 "GET /upload/product/fine%E6%97%A0%E5%BA%95%E8%89%B2%E9%92%88_89WxLv8.png HTTP/1.1" 200 3174115
INFO 2018-03-08 09:40:13,908 "GET /upload/product/derm%E6%97%A0%E5%BA%95%E8%89%B2_X887zue.png HTTP/1.1" 200 3924902
INFO 2018-03-08 09:40:14,473 "GET /upload/product/subskin6_19Le2MB.png HTTP/1.1" 200 4855908
INFO 2018-03-08 09:40:16,345 "GET /upload/banner/shutterstock_218216803_qgERv2Y.jpg HTTP/1.1" 200 8703282
INFO 2018-03-08 09:40:17,007 "GET /upload/banner/shutterstock_149858390_Qdn1z3x.jpg HTTP/1.1" 200 10444283
INFO 2018-03-08 09:40:52,628 "GET /product/FINE/ HTTP/1.1" 200 9976
INFO 2018-03-08 09:40:53,861 "GET /upload/product/fine%E6%97%A0%E5%BA%95%E8%89%B2%E9%92%88_89WxLv8.png HTTP/1.1" 200 3174115
INFO 2018-03-08 09:40:55,815 "GET /product/DREM/ HTTP/1.1" 200 9959
INFO 2018-03-08 09:40:57,783 "GET /upload/product/derm%E6%97%A0%E5%BA%95%E8%89%B2_X887zue.png HTTP/1.1" 200 3924902
INFO 2018-03-08 09:40:58,809 "GET /about_us HTTP/1.1" 301 0
INFO 2018-03-08 09:40:59,006 "GET /about_us/ HTTP/1.1" 200 15442
INFO 2018-03-08 09:40:59,059 "GET /static/css/lightbox.css HTTP/1.1" 200 4394
WARNING 2018-03-08 09:40:59,084 "GET /about_us/j/static/s/jquery.carouFredSel-6.2.0-packed.js HTTP/1.1" 404 3401
INFO 2018-03-08 09:40:59,085 "GET /static/js/lightbox-2.6.min.js HTTP/1.1" 200 7389
INFO 2018-03-08 09:40:59,115 "GET /static/images/qianxleft.png HTTP/1.1" 200 2179
INFO 2018-03-08 09:40:59,119 "GET /static/images/qianxr.png HTTP/1.1" 200 2164
INFO 2018-03-08 09:40:59,186 "GET /upload/cer/3.jpg HTTP/1.1" 200 52565
INFO 2018-03-08 09:40:59,214 "GET /upload/cer/%E8%AF%81%E4%B9%A6ce.jpg HTTP/1.1" 200 23681
INFO 2018-03-08 09:40:59,226 "GET /upload/cer/ce2.jpg HTTP/1.1" 200 47516
WARNING 2018-03-08 09:40:59,229 "GET /static/images/dy_pic11.jpg HTTP/1.1" 404 1674
INFO 2018-03-08 09:40:59,253 "GET /upload/cer/4.jpg HTTP/1.1" 200 113950
INFO 2018-03-08 09:40:59,259 "GET /upload/cer/6.jpg HTTP/1.1" 200 115236
WARNING 2018-03-08 09:40:59,266 "GET /static/img/loading.gif HTTP/1.1" 404 1662
WARNING 2018-03-08 09:40:59,266 "GET /static/img/close.png HTTP/1.1" 404 1656
INFO 2018-03-08 09:40:59,368 "GET /upload/top/timg_RKbfarD.jpeg HTTP/1.1" 200 484668
WARNING 2018-03-08 09:41:05,759 "GET /static/images/jiantou2.png HTTP/1.1" 404 1674
WARNING 2018-03-08 09:41:08,930 "GET /static/img/prev.png HTTP/1.1" 404 1653
WARNING 2018-03-08 09:41:09,852 "GET /static/img/next.png HTTP/1.1" 404 1653
INFO 2018-03-08 09:41:11,033 "GET / HTTP/1.1" 200 19299
INFO 2018-03-08 09:41:11,122 "GET /static/css/popuo-box.css HTTP/1.1" 200 5944
INFO 2018-03-08 09:41:11,196 "GET /static/css/jquery-ui.css HTTP/1.1" 200 31981
INFO 2018-03-08 09:41:11,236 "GET /static/js/numscroller-1.0.js HTTP/1.1" 200 3776
INFO 2018-03-08 09:41:11,289 "GET /static/js/move-top.js HTTP/1.1" 200 1334
INFO 2018-03-08 09:41:11,289 "GET /static/css/animate.css HTTP/1.1" 200 75599
INFO 2018-03-08 09:41:11,306 "GET /static/css/style.css HTTP/1.1" 200 78310
INFO 2018-03-08 09:41:11,334 "GET /static/js/easing.js HTTP/1.1" 200 4900
INFO 2018-03-08 09:41:11,342 "GET /static/js/jquery-2.1.4.min.js HTTP/1.1" 200 84349
INFO 2018-03-08 09:41:11,348 "GET /static/js/case.js HTTP/1.1" 200 1906
INFO 2018-03-08 09:41:11,354 "GET /static/css/bootstrap.css HTTP/1.1" 200 148197
INFO 2018-03-08 09:41:11,368 "GET /static/js/responsiveslides.min.js HTTP/1.1" 200 3405
INFO 2018-03-08 09:41:11,401 "GET /static/js/wow.min.js HTTP/1.1" 200 4777
INFO 2018-03-08 09:41:11,594 "GET /static/js/bootstrap-3.1.1.min.js HTTP/1.1" 200 29115
INFO 2018-03-08 09:41:11,605 "GET / HTTP/1.1" 200 19299
